year_month,permit_unadjusted,permit_adjusted,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2006-02,5130,4407.534806,25,3403,,3,0,0,1,,7,156,,,,,,,,,,,,,8725
2006-03,6033,4421.964643,34,4204,,2,0,0,0,,2,116,,,,,,,,,,,,,10391
2006-04,3638,4142.621821,15,2899,,0,0,0,0,,2,100,,,,,,,,,,,,,6654
2006-05,3434,4261.759178,19,1769,,0,4,0,0,,4,109,,0,0,,,,,,,,,,5339
2006-06,2912,4380.960262,13,1775,,1,0,0,0,,5,103,,8,0,,,,,,,,,,4817
2006-07,2585,4285.511987,16,1733,,0,0,0,1,,2,88,,0,0,,,,,,,,,,4425
2006-08,3295,4443.775769,13,2599,,2,0,0,2,,6,103,,0,0,,,,,,,,,,6020
2006-09,3733,4579.029326,11,4437,,3,0,0,2,,5,143,,0,0,,,,,,,,,,8334
2006-10,4698,4581.9625,24,5694,,3,0,0,1,,3,153,,,,,,,,,,,,,10576
2006-11,4572,4491.63857,20,7141,,5,0,0,0,,3,125,,,,,,,,,,,,,11866
2006-12,6273,4644.516364,34,7691,,2,0,0,1,,3,112,,,,,,,,,,,,,14116
2007-01,7045,4513.113562,13,3088,,3,0,0,1,,3,129,,,,,,,,,,,,,10282
2007-02,4918,4314.331321,25,3221,,3,0,0,0,,6,141,,,,,,,,,,,,,8314
2007-03,5461,4221.501766,32,3991,,2,0,0,2,,2,110,,,,,,,,,,,,,9600
2007-04,4638,4787.136435,22,2594,,3,0,0,0,,0,80,,,,,,,,,,,,,7337
2007-05,3568,4306.695957,18,1563,,3,0,0,2,,2,82,,,,,,,,,,,,,5238
2007-06,2909,4537.665873,10,1647,,1,0,0,0,,2,101,,,,,,,,,,,,,4670
2007-07,3014,4665.944713,8,1634,,5,0,0,0,,0,81,,,,,,,,,,,,,4742
2007-08,3468,4646.254624,19,2822,,1,0,0,0,,5,126,,,,,,,,,,,,,6441
2007-09,3659,4819.890091,14,3685,,2,0,0,0,,4,152,,,,,,,,,,,,,7516
2007-10,4871,4574.134099,14,5261,,3,0,2,2,,2,148,,,,,,,,,,,,,10303
2007-11,4686,4590.786002,33,6855,,6,0,1,2,,1,139,,,,,,,,,,,,,11723
2007-12,6234,4873.342431,23,6371,,3,0,0,2,,3,86,,,,,,,,,,,,,12722
2008-01,7250,4808.038135,27,2986,,4,0,0,1,,4,114,,,,,,,,,,,,,10386
2008-02,5487,4578.608134,30,3184,,3,0,0,1,,5,140,,,,,,,,,,,,,8850
2008-03,6271,5029.357273,38,4141,,4,0,0,0,,1,114,,,,,,,,,,,,,10569
2008-04,5273,4985.199113,26,2931,,5,0,0,0,,2,96,,,,,,,,,,,,,8333
2008-05,4277,5241.679996,30,1841,,0,0,0,0,,1,104,,,,,,,,,,,,,6253
2008-06,3341,5077.26813,17,1663,,1,0,0,1,,2,78,,,,,,,,,,,,,5103
2008-07,3616,5239.170392,32,1703,,4,0,0,1,,1,80,,,,,,,,,,,,,5437
2008-08,3547,5321.904249,23,2610,,1,0,0,0,,1,100,,,,,,,,,,,,,6282
2008-09,4578,5520.166501,17,3724,,0,0,0,0,,1,106,,,,,,,,,,,,,8426
2008-10,5944,5680.752741,23,4906,,7,0,0,3,,1,163,,,,,,,,,,,,,11047
2008-11,6159,6846.746279,41,6829,,27,0,0,2,,1,129,,,,,,,,,,,,,13188
2008-12,8003,5935.139533,51,6248,,26,0,0,0,,3,125,,,,,,,,,,,,,14456
2009-01,8498,6192.263416,35,3305,,33,0,0,1,,3,112,,,,,,,,,,,,,11987
2009-02,7450,6411.189413,39,3526,,15,0,0,5,,4,160,,,,,,,,,,,,,11199
2009-03,8919,6595.648291,62,4418,,22,0,0,2,,1,118,,,,,,,,,,,,,13542
2009-04,7503,6968.771902,43,3095,,29,0,0,0,,2,92,,,,,,,,,,,,,10764
2009-05,5292,6574.513702,32,1948,,10,0,0,3,,0,69,,,,,,,,,,,,,7354
2009-06,4741,6526.399823,38,1771,1,10,0,0,0,,4,81,,,,,,,,,,,,,6646
2009-07,4411,6249.065931,29,1747,13,6,0,0,1,,0,102,,,,,,,,,,,,,6309
2009-08,4451,6569.92159,32,2608,15,6,0,0,2,,3,96,,,,,,,,,,,,,7213
2009-09,5119,6296.302231,29,3416,10,2,0,0,2,,1,132,,,,,,,,,,,,,8711
2009-10,6675,6872.180521,33,4700,14,4,0,0,6,,3,172,,,,,,,,,,,,,11607
2009-11,5560,6092.428672,27,5416,12,4,0,0,6,,1,120,,,,,,,,,,,,,11146
2009-12,8021,6319.558208,42,5570,6,1,0,0,2,,1,112,,,,,,,,,,,,,13755
2010-01,7530,5989.719588,36,2748,16,4,1,0,3,0,0,91,0,,,,,,,,,,,,10429
2010-02,7164,5985.482181,61,3259,20,5,0,0,4,0,2,158,0,,,,,,,,,,,,10673
2010-03,9436,6539.758443,73,4220,12,5,0,0,5,0,2,125,0,,,,,,,,,,,,13878
2010-04,7121,6680.35644,37,2442,13,5,0,0,2,0,2,98,0,,,,,,,,,,,,9720
2010-05,5685,6828.351311,44,1732,12,3,0,0,4,0,0,88,0,,,,,,,,,,,,7568
2010-06,5742,7688.192067,54,1938,9,2,0,0,2,0,2,98,0,,,,,,,,,,,,7847
2010-07,5048,7349.846539,50,1700,5,1,0,0,0,0,3,114,0,,,,,,,,,,,,6921
2010-08,5056,6888.389036,40,2496,6,0,0,0,1,0,1,123,0,,,,,,,,,,,,7723
2010-09,6080,7571.298693,35,3312,11,5,0,0,1,0,3,141,0,,,,,,,,,,,,9588
2010-10,6529,7334.432562,42,4289,8,6,0,0,0,1,3,151,0,,,,,,,,,,,,11029
2010-11,6884,7383.053952,40,6199,10,5,0,0,0,0,1,134,0,,,,,,,,,,,,13273
2010-12,9804,8142.105338,76,6065,16,5,0,0,4,0,1,118,0,,,,,,,,,,,,16089
2011-01,24976,19809.15062,86,3028,27,4,0,0,4,0,5,109,0,,,,,,,,,,,,28239
2011-02,17566,13839.23814,98,3332,26,7,0,0,2,0,4,191,0,,,,,,,,,,,,21226
2011-03,20254,13940.65493,91,4095,22,10,1,0,0,0,4,143,1,,,,,,,,,,,,24621
2011-04,12477,12490.6707,59,2984,21,1,4,0,1,0,3,116,0,,,,,,,,,,,,15666
2011-05,9298,10289.57,46,1809,6,5,0,0,1,0,5,93,1,,,,,,,,,,,,11264
2011-06,7161,9669.68653,43,1803,8,3,0,0,0,0,3,113,0,,,,,,,,,,,,9134
2011-07,5939,8920.328787,37,1812,17,3,0,0,0,0,0,117,0,,,,,,,,,,,,7925
2011-08,7350,9148.363162,69,2629,11,2,0,0,1,0,1,130,0,,,,,,,,,,,,10193
2011-09,6848,8671.066228,88,3390,11,4,0,0,3,0,2,168,0,,,,,,,,,,,,10514
2011-10,7331,8483.272757,99,4192,15,3,0,0,2,0,0,142,0,,,,,,,,,,,,11784
2011-11,7947,8775.59586,134,6094,13,6,0,0,0,0,2,130,0,,,,,,,,,,,,14326
2011-12,8089,7577.554438,145,6670,12,5,0,0,2,0,3,126,0,,,,,,,,,,,,15052
2012-01,10390,7639.141501,142,3006,16,4,0,0,1,0,5,99,0,,,,,,,,,,,,13663
2012-02,11797,8363.227043,153,3884,23,10,0,0,1,0,4,204,0,,,,,,,,,,,,16076
2012-03,10534,7696.053312,162,3926,25,5,0,0,1,0,1,117,2,,,,,,,,,,,,14773
2012-04,8134,8057.441121,116,2712,23,8,0,0,0,0,1,106,1,,,,,,,,,,,,11101
2012-05,7411,7742.969148,72,1916,21,3,0,0,0,0,2,80,0,,,,,,,,,,,,9505
2012-06,5136,7555.82288,72,2177,17,1,0,0,0,0,2,99,1,,,,,,,,,,,,7505
2012-07,6372,8868.495449,73,2036,16,2,0,0,1,0,2,94,0,,,,,,,,,,,,8596
2012-08,6876,8333.452244,82,2810,14,3,0,0,0,0,2,130,0,,,,,,,,,,,,9917
2012-09,5352,7705.867364,81,3379,18,4,0,0,0,0,3,153,0,,,,,,,,,,,,8990
2012-10,7158,7466.328003,128,4538,33,10,0,0,2,0,4,139,0,,,,,,,,,,,,12012
2012-11,8611,9688.932421,157,7217,24,3,0,0,0,0,4,139,0,,,,,,,,,,,,16155
2012-12,10863,11213.18676,235,8121,53,9,0,0,4,0,0,122,0,,,,,,,,,,,,19407
2013-01,19235,13025.77222,344,4399,68,13,0,1,1,0,4,92,0,,,,,,,,,,,,24157
2013-02,15868,11367.46884,238,3995,34,8,0,0,0,0,6,160,0,,,,,,,,,,,,20309
2013-03,14410,11046.60851,195,4400,33,3,0,0,0,0,1,134,0,,,,0,,,,,,,,19176
2013-04,12545,11578.48221,120,2947,22,2,0,0,0,0,2,96,0,,,,0,,,,,,,,15734
2013-05,7502,7954.941657,78,2016,15,4,0,0,0,0,0,93,0,,,,,,,,,,,,9708
2013-06,6450,10258.61959,74,1713,11,3,0,1,0,0,1,83,0,,,,,0,,,,,,,8336
2013-07,4991,6582.896805,82,1603,10,1,0,0,0,0,3,82,0,,,,,,,,,,,,6772
2013-08,5715,7302.887883,223,2519,17,2,0,0,0,0,3,87,0,,,,,,0,0,0,0,0,,8566
2013-09,7423,10090.77766,153,3166,20,6,0,0,1,0,2,102,0,,,,,,0,0,0,,0,0,10873
2013-10,7659,8003.077125,212,3696,24,6,0,0,1,0,0,118,1,,,,,,0,0,0,,0,,11717
2013-11,6490,7639.864365,196,5246,22,10,0,0,0,0,2,109,1,,,,,,0,0,0,,0,0,12076
2013-12,6619,6560.863231,217,5671,17,6,0,0,1,0,2,105,0,,,,,,0,0,0,,0,,12638
2014-01,10269,7062.930652,214,2413,24,1,0,0,1,0,1,80,0,,,,0,,0,0,0,0,0,,13003
2014-02,9818,6770.181152,206,2939,27,7,0,0,0,0,3,167,0,,,,,,0,0,0,0,0,0,13167
2014-03,9748,7346.270224,237,3580,22,6,0,0,2,0,2,88,1,0,0,,,,0,0,0,,0,0,13686
2014-04,7746,7133.210092,183,2379,17,4,0,0,0,1,2,72,0,,,,,,0,0,0,0,0,,10404
2014-05,6278,7350.466535,120,1659,19,6,0,0,0,0,1,82,0,,,,,,0,0,0,0,0,,8165
2014-06,6704,10190.66333,146,1614,18,4,0,0,0,0,0,83,0,0,,,,,0,0,0,0,0,,8569
2014-07,5737,7475.189868,119,1606,14,2,0,0,0,0,1,94,2,,,,,,0,0,0,0,0,0,7575
2014-08,5476,7431.081992,117,2205,18,3,0,0,3,0,3,98,0,,,,0,,0,0,0,0,0,0,7923
2014-09,5545,7076.27493,178,2660,23,4,0,0,0,0,4,80,0,,,,,,0,0,0,0,0,0,8494
2014-10,6822,7306.100729,176,3667,22,3,0,0,0,0,0,105,0,,,,,,0,0,0,0,0,0,10795
2014-11,5596,6822.374855,174,5018,19,4,0,0,4,0,4,87,0,,,,,,0,0,0,0,0,0,10906
2014-12,8371,7760.139971,260,5574,39,6,0,0,1,0,2,82,0,,,,,,0,0,0,0,0,0,14335
2015-01,9736,7236.124524,197,2486,44,9,0,0,0,0,4,85,0,0,0,0,,,0,0,1,0,0,0,12562
2015-02,13054,8611.582045,268,2984,35,7,0,0,0,0,1,106,2,0,0,0,,,0,0,0,0,0,0,16457
2015-03,11320,7950.223583,295,3211,24,7,0,0,1,0,1,89,0,0,0,0,,,0,0,0,0,0,,14948
2015-04,8656,7968.393983,211,2163,13,4,0,0,1,0,3,62,0,0,0,0,,,0,0,0,0,0,,11113
2015-05,5573,7243.203413,167,1781,12,9,0,1,0,0,3,51,0,0,0,0,,,0,0,0,0,0,0,7597
2015-06,5452,7934.698536,184,1634,24,3,0,0,0,0,2,59,1,0,0,0,,,0,0,0,0,0,0,7359
2015-07,6577,8484.147689,120,1563,22,3,0,0,1,0,2,67,1,0,0,0,,,0,0,0,0,0,0,8356
2015-08,6064,8292.193306,170,2288,14,3,0,0,0,0,0,53,0,0,0,0,,,0,0,0,0,0,0,8592
2015-09,7036,8893.629148,191,2514,23,5,13,0,1,0,3,68,0,5,3,2,,,0,1,0,0,0,0,9865
2015-10,7078,8249.2911,172,3318,26,4,17,0,0,0,2,104,0,3,1,0,,,0,0,0,0,0,0,10725
2015-11,8785,9780.096576,267,4596,27,4,37,0,1,0,0,71,0,4,2,0,,,0,0,0,0,0,0,13794
