year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
2011-07,5939,8920.328787,Iowa,2011,July,07,3074186,0.663752941,2040,1.1,1855,37,1812,17,3,3,0,0,0,0,0,117,0,,,,,,,,,,,,7925
2005-03,5840,4279.527973,Iowa,2005,March,03,3074186,1.414813547,4349,1.1,3954,31,3917,,3,3,0,0,0,,2,152,,,,,,,,,,,,,9945
2004-03,5797,4251.498156,Iowa,2004,March,03,3074186,1.301385147,4000,1.1,3637,34,3595,,4,4,5,0,2,,1,136,,,,,,,,,,,,,9574
2010-06,5742,7688.192067,Iowa,2010,June,06,3074186,0.714205321,2195,1.1,1996,54,1938,9,2,2,0,0,2,0,2,98,0,,,,,,,,,,,,7847
2014-07,5737,7475.189868,Iowa,2014,July,07,3074186,0.618667836,1902,1.1,1729,119,1606,14,2,2,0,0,0,0,1,94,2,,,,,,0,0,0,0,0,0,7575
2013-08,5715,7302.887883,Iowa,2013,August,08,3074186,0.982569044,3020,1.1,2746,223,2519,17,2,2,0,0,0,0,3,87,0,,,,,,0,0,0,0,0,,8566
2010-05,5685,6828.351311,Iowa,2010,May,05,3074186,0.637632206,1960,1.1,1782,44,1732,12,3,3,0,0,4,0,0,88,0,,,,,,,,,,,,7568
2014-11,5596,6822.374855,Iowa,2014,November,11,3074186,1.860655146,5719,1.1,5200,174,5018,19,4,4,0,0,4,0,4,87,0,,,,,,0,0,0,0,0,0,10906
2015-05,5573,7243.203413,Iowa,2015,May,05,3074186,0.703470772,2161,1.1,1966,167,1781,12,9,9,0,1,0,0,3,51,0,0,0,0,,,0,0,0,0,0,0,7597
2009-11,5560,6092.428672,Iowa,2009,November,11,3074186,1.950467538,5995,1.1,5451,27,5416,12,4,4,0,0,6,,1,120,,,,,,,,,,,,,11146
1999-01,5553,3812.04975,Iowa,1999,January,01,3074186,0.929254118,2856,1.1,2597,49,2538,,5,5,17,,,,,,,,,,,,,,,,,,8162
2014-09,5545,7076.27493,Iowa,2014,September,09,3074186,1.018350874,3130,1.1,2846,178,2660,23,4,4,0,0,0,0,4,80,0,,,,,,0,0,0,0,0,0,8494
2001-12,5521,3943.640124,Iowa,2001,December,12,3074186,2.308643654,7096,1.1,6452,42,6400,,5,5,22,0,4,,5,123,,,,,,,,,,,,,12122
2008-02,5487,4578.608134,Iowa,2008,February,02,3074186,1.152174917,3541,1.1,3220,30,3184,,3,3,0,0,1,,5,140,,,,,,,,,,,,,8850
2014-08,5476,7431.081992,Iowa,2014,August,08,3074186,0.833000996,2560,1.1,2328,117,2205,18,3,3,0,0,3,0,3,98,0,,,,0,,0,0,0,0,0,0,7923
2007-03,5461,4221.501766,Iowa,2007,March,03,3074186,1.440934283,4429,1.1,4027,32,3991,,2,2,0,0,2,,2,110,,,,,,,,,,,,,9600
2015-06,5452,7934.698536,Iowa,2015,June,06,3074186,0.652660574,2006,1.1,1824,184,1634,24,3,3,0,0,0,0,2,59,1,0,0,0,,,0,0,0,0,0,0,7359
2005-02,5420,4590.128885,Iowa,2005,February,02,3074186,1.191892748,3663,1.1,3331,20,3303,,4,4,0,0,0,,5,193,,,,,,,,,,,,,8945
2012-09,5352,7705.867364,Iowa,2012,September,09,3074186,1.240913855,3814,1.1,3468,81,3379,18,4,4,0,0,0,0,3,153,0,,,,,,,,,,,,8990
2009-05,5292,6574.513702,Iowa,2009,May,05,3074186,0.715636595,2198,1.1,2000,32,1948,,10,10,0,0,3,,0,69,,,,,,,,,,,,,7354
2008-04,5273,4985.199113,Iowa,2008,April,04,3074186,1.061646888,3263,1.1,2967,26,2931,,5,5,0,0,0,,2,96,,,,,,,,,,,,,8333
2012-06,5136,7555.82288,Iowa,2012,June,06,3074186,0.805448987,2476,1.1,2251,72,2177,17,1,1,0,0,0,0,2,99,1,,,,,,,,,,,,7505
2003-03,5134,4269.241959,Iowa,2003,March,03,3074186,1.181516018,3632,1.1,3302,23,3273,,3,3,10,0,0,,3,143,,,,,,,,,,,,,8589
2006-02,5130,4407.534806,Iowa,2006,February,02,3074186,1.228748033,3777,1.1,3434,25,3403,,3,3,0,0,1,,7,156,,,,,,,,,,,,,8725
2009-09,5119,6296.302231,Iowa,2009,September,09,3074186,1.234115307,3794,1.1,3449,29,3416,10,2,2,0,0,2,,1,132,,,,,,,,,,,,,8711
2000-03,5083,3899.865834,Iowa,2000,March,03,3074186,1.039104335,3193,1.1,2904,50,2844,,5,5,12,,,,,,,,,,,,,,,,,,7994
2010-08,5056,6888.389036,Iowa,2010,August,08,3074186,0.907427202,2790,1.1,2536,40,2496,6,0,0,0,0,1,0,1,123,0,,,,,,,,,,,,7723
2010-07,5048,7349.846539,Iowa,2010,July,07,3074186,0.626897657,1927,1.1,1752,50,1700,5,1,1,0,0,0,0,3,114,0,,,,,,,,,,,,6921
2001-10,5016,4202.363726,Iowa,2001,October,10,3074186,2.009507557,6177,1.1,5616,51,5559,,3,3,19,0,0,,0,13,,,,,,,,,,,,,10661
2013-07,4991,6582.896805,Iowa,2013,July,07,3074186,0.603639468,1856,1.1,1687,82,1603,10,1,1,0,0,0,0,3,82,0,,,,,,,,,,,,6772
2003-02,4961,4221.111327,Iowa,2003,February,02,3074186,0.976128315,3000,1.1,2728,36,2684,,4,4,29,0,3,,1,200,,,,,,,,,,,,,7918
2001-03,4950,3958.699405,Iowa,2001,March,03,3074186,1.161478193,3570,1.1,3246,40,3204,,1,1,7,,,,,,,,,,,,,,,,,,8202
2007-02,4918,4314.331321,Iowa,2007,February,02,3074186,1.163625103,3577,1.1,3252,25,3221,,3,3,0,0,0,,6,141,,,,,,,,,,,,,8314
2007-10,4871,4574.134099,Iowa,2007,October,10,3074186,1.889638428,5809,1.1,5281,14,5261,,3,3,0,2,2,,2,148,,,,,,,,,,,,,10303
2000-02,4825,3916.191546,Iowa,2000,February,02,3074186,1.014772691,3118,1.1,2836,46,2776,,7,7,7,,,,,,,,,,,,,,,,,,7661
2002-02,4757,4064.886656,Iowa,2002,February,02,3074186,0.936052666,2877,1.1,2616,17,2591,,4,4,15,0,1,,8,251,,,,,,,,,,,,,7644
2002-10,4748,4123.163476,Iowa,2002,October,10,3074186,1.863159874,5727,1.1,5207,14,5187,,3,3,0,0,3,,4,240,,,,,,,,,,,,,10199
2009-06,4741,6526.399823,Iowa,2009,June,06,3074186,0.654449666,2010,1.1,1829,38,1771,1,10,10,0,0,0,,4,81,,,,,,,,,,,,,6646
